epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.70911,1.50478,0.53659,1,1.36983,0.000361721,0.000361721,0.000361721
2,18.036,1.11369,0.69512,1,1.05479,0.000724807,0.000724807,0.000724807
3,25.506,0.95454,0.79268,1,0.54347,0.00108056,0.00108056,0.00108056
4,31.3091,0.88076,0.82927,1,0.74662,0.001078,0.001078,0.001078
5,36.4986,0.88723,0.7561,1,0.79469,0.001067,0.001067,0.001067
6,41.8795,0.84795,0.7561,1,1.96306,0.00105601,0.00105601,0.00105601
7,47.1519,0.82152,0.91463,1,0.28775,0.00104501,0.00104501,0.00104501
8,52.6589,0.7007,0.84146,1,0.42174,0.00103401,0.00103401,0.00103401
9,58.083,0.66366,0.85366,1,0.38981,0.00102301,0.00102301,0.00102301
10,63.4069,0.8858,0.84146,1,0.31541,0.00101201,0.00101201,0.00101201
11,68.7588,0.68697,0.95122,1,0.14918,0.00100101,0.00100101,0.00100101
12,74.0546,0.58729,0.93902,1,0.17064,0.000990012,0.000990012,0.000990012
13,79.411,0.5652,0.91463,1,0.2834,0.000979013,0.000979013,0.000979013
14,84.9976,0.69541,0.89024,1,0.27486,0.000968014,0.000968014,0.000968014
15,90.1356,0.60224,0.93902,1,0.24887,0.000957015,0.000957015,0.000957015
16,95.3608,0.45859,0.95122,1,0.14655,0.000946016,0.000946016,0.000946016
17,100.698,0.46151,0.93902,1,0.15249,0.000935018,0.000935018,0.000935018
18,106.302,0.58599,0.91463,1,0.22362,0.000924019,0.000924019,0.000924019
19,111.571,0.45514,0.92683,1,0.35189,0.00091302,0.00091302,0.00091302
20,116.973,0.52354,0.91463,1,0.24327,0.000902021,0.000902021,0.000902021
21,122.415,0.43325,0.91463,1,0.26473,0.000891022,0.000891022,0.000891022
22,127.842,0.37485,0.97561,1,0.07799,0.000880023,0.000880023,0.000880023
23,133.212,0.46141,0.93902,1,0.21503,0.000869024,0.000869024,0.000869024
24,138.559,0.40617,0.97561,1,0.09554,0.000858025,0.000858025,0.000858025
25,143.92,0.42812,0.95122,1,0.12797,0.000847026,0.000847026,0.000847026
26,149.139,0.43311,0.96341,1,0.16799,0.000836027,0.000836027,0.000836027
27,154.758,0.39978,0.95122,1,0.13372,0.000825029,0.000825029,0.000825029
28,160.222,0.3336,0.95122,1,0.11915,0.00081403,0.00081403,0.00081403
29,165.704,0.39589,0.96341,1,0.12408,0.000803031,0.000803031,0.000803031
30,171.084,0.32566,0.97561,1,0.08297,0.000792032,0.000792032,0.000792032
31,176.416,0.3811,0.96341,1,0.09557,0.000781033,0.000781033,0.000781033
32,181.678,0.32707,0.96341,1,0.11253,0.000770034,0.000770034,0.000770034
33,186.915,0.32827,0.97561,1,0.08543,0.000759035,0.000759035,0.000759035
34,192.2,0.31509,0.93902,1,0.12995,0.000748036,0.000748036,0.000748036
35,197.369,0.27603,0.97561,1,0.09881,0.000737037,0.000737037,0.000737037
36,202.766,0.25007,0.9878,1,0.07153,0.000726038,0.000726038,0.000726038
37,208.08,0.2762,0.97561,1,0.06076,0.00071504,0.00071504,0.00071504
38,213.344,0.25987,0.9878,1,0.07618,0.000704041,0.000704041,0.000704041
39,218.548,0.25331,0.97561,1,0.06093,0.000693042,0.000693042,0.000693042
40,223.789,0.38059,0.96341,1,0.05413,0.000682043,0.000682043,0.000682043
41,228.991,0.25307,0.95122,1,0.06403,0.000671044,0.000671044,0.000671044
42,234.257,0.19647,0.96341,1,0.07298,0.000660045,0.000660045,0.000660045
43,239.474,0.3946,0.97561,1,0.04427,0.000649046,0.000649046,0.000649046
44,244.753,0.20349,0.97561,1,0.05257,0.000638047,0.000638047,0.000638047
45,250.061,0.24727,0.9878,1,0.03755,0.000627048,0.000627048,0.000627048
46,255.55,0.21772,0.97561,1,0.07456,0.000616049,0.000616049,0.000616049
47,260.765,0.22278,1,1,0.03745,0.000605051,0.000605051,0.000605051
48,266.009,0.24763,0.9878,1,0.04233,0.000594052,0.000594052,0.000594052
49,271.316,0.18697,0.97561,1,0.06542,0.000583053,0.000583053,0.000583053
50,277.075,0.22166,0.9878,1,0.04348,0.000572054,0.000572054,0.000572054
51,282.482,0.26546,0.96341,1,0.05868,0.000561055,0.000561055,0.000561055
52,287.818,0.14653,0.97561,1,0.03954,0.000550056,0.000550056,0.000550056
53,293.215,0.22394,0.97561,1,0.06494,0.000539057,0.000539057,0.000539057
54,298.585,0.18845,0.97561,1,0.06051,0.000528058,0.000528058,0.000528058
55,303.911,0.17024,0.97561,1,0.0787,0.000517059,0.000517059,0.000517059
56,309.259,0.14691,0.96341,1,0.11854,0.00050606,0.00050606,0.00050606
57,314.671,0.17526,0.97561,1,0.0614,0.000495062,0.000495062,0.000495062
58,319.925,0.28703,0.97561,1,0.04851,0.000484063,0.000484063,0.000484063
59,325.26,0.2516,0.96341,1,0.04939,0.000473064,0.000473064,0.000473064
60,330.534,0.12073,0.97561,1,0.04084,0.000462065,0.000462065,0.000462065
61,335.881,0.16338,0.97561,1,0.04579,0.000451066,0.000451066,0.000451066
62,341.224,0.15773,0.96341,1,0.07859,0.000440067,0.000440067,0.000440067
63,346.625,0.18213,0.97561,1,0.05972,0.000429068,0.000429068,0.000429068
64,351.933,0.17904,0.9878,1,0.03266,0.000418069,0.000418069,0.000418069
65,357.288,0.1361,0.9878,1,0.05971,0.00040707,0.00040707,0.00040707
66,362.652,0.23271,0.97561,1,0.05624,0.000396071,0.000396071,0.000396071
67,367.894,0.18884,0.9878,1,0.03862,0.000385073,0.000385073,0.000385073
68,373.273,0.16352,1,1,0.01809,0.000374074,0.000374074,0.000374074
69,378.637,0.13762,0.9878,1,0.02164,0.000363075,0.000363075,0.000363075
70,383.961,0.11097,0.97561,1,0.05488,0.000352076,0.000352076,0.000352076
71,389.191,0.24387,0.97561,1,0.03934,0.000341077,0.000341077,0.000341077
72,394.653,0.14415,1,1,0.02078,0.000330078,0.000330078,0.000330078
73,400.089,0.13368,0.9878,1,0.05421,0.000319079,0.000319079,0.000319079
74,405.458,0.17082,0.9878,1,0.03304,0.00030808,0.00030808,0.00030808
75,410.793,0.1548,0.9878,1,0.06151,0.000297081,0.000297081,0.000297081
76,416.159,0.12713,0.97561,1,0.03955,0.000286083,0.000286083,0.000286083
77,421.587,0.14568,0.9878,1,0.03609,0.000275084,0.000275084,0.000275084
78,426.985,0.1207,0.9878,1,0.04865,0.000264085,0.000264085,0.000264085
79,432.523,0.12178,0.97561,1,0.02931,0.000253086,0.000253086,0.000253086
80,437.441,0.17193,0.9878,1,0.02345,0.000242087,0.000242087,0.000242087
81,442.105,0.10651,1,1,0.01555,0.000231088,0.000231088,0.000231088
82,446.794,0.10457,0.97561,1,0.03561,0.000220089,0.000220089,0.000220089
83,451.403,0.08987,0.97561,1,0.02622,0.00020909,0.00020909,0.00020909
84,455.971,0.12435,0.9878,1,0.0321,0.000198091,0.000198091,0.000198091
85,460.589,0.13044,0.97561,1,0.06121,0.000187092,0.000187092,0.000187092
86,465.548,0.09515,0.97561,1,0.04096,0.000176094,0.000176094,0.000176094
87,470.162,0.10507,0.97561,1,0.04563,0.000165095,0.000165095,0.000165095
88,474.964,0.08763,0.97561,1,0.03428,0.000154096,0.000154096,0.000154096
89,479.672,0.1177,0.97561,1,0.0375,0.000143097,0.000143097,0.000143097
90,484.46,0.08276,0.97561,1,0.03285,0.000132098,0.000132098,0.000132098
91,489.144,0.1149,0.97561,1,0.02801,0.000121099,0.000121099,0.000121099
92,493.793,0.06809,0.9878,1,0.0275,0.0001101,0.0001101,0.0001101
93,498.528,0.0993,0.9878,1,0.0196,9.91012e-05,9.91012e-05,9.91012e-05
94,503.199,0.07729,0.9878,1,0.02474,8.81023e-05,8.81023e-05,8.81023e-05
95,507.868,0.06067,0.9878,1,0.0286,7.71034e-05,7.71034e-05,7.71034e-05
96,512.392,0.08709,0.9878,1,0.05979,6.61045e-05,6.61045e-05,6.61045e-05
97,517.045,0.07887,0.9878,1,0.02825,5.51056e-05,5.51056e-05,5.51056e-05
98,521.704,0.0888,0.9878,1,0.05678,4.41067e-05,4.41067e-05,4.41067e-05
99,526.336,0.06936,0.9878,1,0.03963,3.31078e-05,3.31078e-05,3.31078e-05
100,530.906,0.09501,0.9878,1,0.03171,2.21089e-05,2.21089e-05,2.21089e-05
